track_id,track_name,artist_name,danceability,energy,tempo,valence
7exHT4swWOKL5addPeqkLP,THE LONELIEST,Måneskin,0.525,0.599,129.841,0.226
3Ua0m0YmEjrMi9XErKcNiR,Like Crazy,Jimin,0.629,0.733,120.001,0.362
2ycWek3FNNVHBhz2TcnOzZ,Wizard Of Oz,Logic,0.72,0.601,146.002,0.0527
0TvQLMecTE8utzoNmvXRbK,Bad Blood,Taylor Swift,0.652,0.802,170.157,0.295
0rhI6gvOeCKA502RdJAbfs,Sugar Rush Ride,TOMORROW X TOGETHER,0.712,0.893,125.022,0.828
4IxeKzzxUSEgivgtbSbyIK,I Cannot Be (A Sadder Song) (with Gunna),"Post Malone, Gunna",0.517,0.668,79.782,0.646
67jvGGbJmOmVonlyX3mNkV,Caramelo - Remix,"Ozuna, KAROL G, Myke Towers",0.755,0.772,168.062,0.586
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",0.643,0.783,154.084,0.579
3FqUPvubYeRCMsdJ02QyZR,TÚ NAME,Fuerza Regida,0.76,0.747,128.912,0.884
6ZIuit0z4eQg77F1RGkp0L,Nico and the Niners,Twenty One Pilots,0.731,0.595,140.072,0.362
6q8Lb50EtqNeeJXXe8mMAH,Culpables,"KAROL G, Anuel AA",0.728,0.801,130.059,0.416
0pSBuHjILhNEo55xK1zrRt,Rolex,Ayo & Teo,0.804,0.886,144.946,0.789
4Hta7Oy5W9HD0UgT1P8PPV,RISE! (feat. DAISY WORLD),"Tyler, The Creator, DAISY WORLD",0.766,0.814,108.07,0.481
4CPcZHzSvIBM8AKhdHUwnL,Clueless (with Pop Smoke & Fivio Foreign),"Polo G, Pop Smoke, Fivio Foreign",0.734,0.712,140.369,0.674
57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,0.58,0.702,105.076,0.299
4xkOaSrkexMciUUogZKVTS,Till I Collapse,"Eminem, Nate Dogg",0.548,0.847,171.447,0.1
3IxMaULfjq4IT2IN6v54PB,Mask,Dream,0.636,0.749,117.904,0.653
2eAZfqOm4EnOF9VvN50Tyc,The Way Life Goes (feat. Oh Wonder),"Lil Uzi Vert, Oh Wonder",0.703,0.757,82.008,0.696
3iQOfefMGDVDwo8dZoco8T,PORFA,"Feid, Justin Quiles",0.843,0.549,83.982,0.541
05r1GGg1Rhs0RcUg27C82a,Famous (feat. Reginae Carter),"Lil Wayne, Reginae Carter",0.623,0.568,149.852,0.115
5rohUzwEoRsUvAA1Bf3DLo,Dos Oruguitas,Sebastian Yatra,0.423,0.355,93.788,0.465
0B48113ZG9UfkWWt7qD9xX,Younger Now,Miley Cyrus,0.551,0.869,121.91,0.297
34ZAzO78a5DAVNrYIGWcPm,Shirt,SZA,0.824,0.453,119.959,0.552
5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),"Zedd, Kehlani",0.693,0.564,185.913,0.574
0qJeyYAgv6UpvewUxRXAhb,Rags2Riches 2 (feat. Lil Baby),"Rod Wave, Lil Baby",0.874,0.443,118.004,0.298
1wsLHgXJ4SKIfd5ePSX1hD,Polaroid,"Jonas Blue, Liam Payne, Lennon Stella",0.652,0.897,114.033,0.475
7zvfDihYiJ8RQ1nRcpKBF5,Mr. Morale,"Kendrick Lamar, Tanna Leone",0.727,0.53,174.025,0.258
6ZuahEctZD6w75peme58hm,Wonder,Shawn Mendes,0.442,0.631,139.774,0.129
7n7VsX3sv66znBwA8b5uhp,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,0.575,0.236,79.576,0.829
4kflIGfjdZJW4ot2ioixTB,Someone Like You,Adele,0.559,0.33,135.109,0.285
